time,wx,wy,wz,a0,a1,a2,a3
1.199999999999997335e+01,7.757532277879440608e-02,8.825333781811084410e-02,3.603641208236415400e-02,7.401776689346760696e-01,4.377809381917976972e-01,4.419343305046331549e-01,2.553016178714111462e-01
1.209999999999997300e+01,7.750203400449720559e-02,8.837035046535121618e-02,3.589386628910258559e-02,7.360564437385898051e-01,4.403059708133417738e-01,4.454000465008957632e-01,2.568469627502352748e-01
1.219999999999997264e+01,7.742893834442807210e-02,8.848679014719292024e-02,3.575126634608809945e-02,7.319082736517127374e-01,4.428070171501652386e-01,4.488554307639764374e-01,2.583815527401824297e-01
1.229999999999997229e+01,7.735603714979640000e-02,8.860265785168384978e-02,3.560861317833870915e-02,7.277333262178332651e-01,4.452839787154447282e-01,4.523003247189764098e-01,2.599053682985034142e-01
1.239999999999997193e+01,7.728333176389950987e-02,8.871795456891998222e-02,3.546590770276778631e-02,7.235317699548353687e-01,4.477367582194451412e-01,4.557345702259717468e-01,2.614183901452115655e-01
1.249999999999997158e+01,7.721082352213641531e-02,8.883268129096123789e-02,3.532315082820221969e-02,7.193037743473953416e-01,4.501652595708595106e-01,4.591580095874346346e-01,2.629205992629665700e-01
1.259999999999997122e+01,7.713851375202189498e-02,8.894683901174785245e-02,3.518034345540091423e-02,7.150495098396527638e-01,4.525693878780917556e-01,4.625704855556180273e-01,2.644119768969659390e-01
1.269999999999997087e+01,7.706640377320091162e-02,8.906042872701719348e-02,3.503748647707360941e-02,7.107691478278633790e-01,4.549490494504860316e-01,4.659718413399067671e-01,2.658925045548461985e-01
1.279999999999997051e+01,7.699449489746322539e-02,8.917345143422106268e-02,3.489458077790003054e-02,7.064628606530302113e-01,4.573041517995015681e-01,4.693619206141327327e-01,2.673621640065928506e-01
1.289999999999997016e+01,7.692278842875839573e-02,8.928590813244353941e-02,3.475162723454939401e-02,7.021308215935136987e-01,4.596346036398328283e-01,4.727405675238546823e-01,2.688209372844589939e-01
1.299999999999996980e+01,7.685128566321104693e-02,8.939779982231928213e-02,3.460862671570019700e-02,6.977732048576223978e-01,4.619403148904764889e-01,4.761076266936027923e-01,2.702688066828932145e-01
1.309999999999996945e+01,7.677998788913635575e-02,8.950912750595226008e-02,3.446558008206035417e-02,6.933901855761831490e-01,4.642211966757445185e-01,4.794629432340865582e-01,2.717057547584761923e-01
1.319999999999996909e+01,7.670889638705591373e-02,8.961989218683508174e-02,3.432248818638763271e-02,6.889819397950923685e-01,4.664771613262244099e-01,4.828063627493673904e-01,2.731317643298666331e-01
1.329999999999996874e+01,7.663801242971376992e-02,8.973009486976872562e-02,3.417935187351042042e-02,6.845486444678470228e-01,4.687081223796859542e-01,4.861377313439937398e-01,2.745468184777555831e-01
1.339999999999996838e+01,7.656733728209277889e-02,8.983973656078282632e-02,3.403617198034877139e-02,6.800904774480573955e-01,4.709139945819360573e-01,4.894568956301005302e-01,2.759509005448299579e-01
1.349999999999996803e+01,7.649687220143125410e-02,8.994881826705639072e-02,3.389294933593575698e-02,6.756076174819406477e-01,4.730946938876207097e-01,4.927637027344709542e-01,2.773439941357450089e-01
1.359999999999996767e+01,7.642661843723976001e-02,9.005734099683902760e-02,3.374968476143914292e-02,6.711002442007957258e-01,4.752501374609753304e-01,4.960580003055614640e-01,2.787260831171057829e-01
1.369999999999996732e+01,7.635657723131830665e-02,9.016530575937271863e-02,3.360637907018332315e-02,6.665685381134608400e-01,4.773802436765228752e-01,4.993396365204894050e-01,2.800971516174569631e-01
1.379999999999996696e+01,7.628674981777365527e-02,9.027271356481399167e-02,3.346303306767156593e-02,6.620126805987516239e-01,4.794849321197210967e-01,5.026084600919826784e-01,2.814571840272820924e-01
1.389999999999996660e+01,7.621713742303695693e-02,9.037956542415666317e-02,3.331964755160853747e-02,6.574328538978831959e-01,4.815641235875584014e-01,5.058643202752919343e-01,2.828061649990114557e-01
1.399999999999996625e+01,7.614774126588158554e-02,9.048586234915503845e-02,3.317622331192311702e-02,6.528292411068736811e-01,4.836177400890986355e-01,5.091070668750645734e-01,2.841440794470385667e-01
1.409999999999996589e+01,7.607856255744123442e-02,9.059160535224758393e-02,3.303276113079146870e-02,6.482020261689309670e-01,4.856457048459760228e-01,5.123365502521806114e-01,2.854709125477458698e-01
1.419999999999996554e+01,7.600960250122817952e-02,9.069679544648118208e-02,3.288926178266039779e-02,6.435513938668226963e-01,4.876479422928388652e-01,5.155526213305493544e-01,2.867866497395387126e-01
1.429999999999996518e+01,7.594086229315187564e-02,9.080143364543573348e-02,3.274572603427097078e-02,6.388775298152301607e-01,4.896243780777447818e-01,5.187551316038688798e-01,2.880912767228887006e-01
